"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&start=1990&end=2016&showdm=y"
"Sat Feb 02 2019 10:39:42 GMT-0600 (CST)"
"Source: U.S. Energy Information Administration"
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Primary Energy","Quad Btu"
"","Production",""
"","Production",""
"","Afghanistan","Quad Btu",0.11880148869603,0.019882743859226,0.016393326056199,0.016307205469063,0.016230539881926,0.012230107294789,0.01185990406141,0.011376165474273,0.011146679474273,0.011115794887137,0.011230706887137,0.0078725152019776,0.0081747729071883,0.0092432045453138,0.0084839099581771,0.0086846950119347,0.0091828575453138,0.013970282924712,0.013774315654411,0.018585542287549,0.027521904543009,0.041304489424859,0.036961717832067,0.039702750561256,0.044374783038672,0.042368320580777,0.049233547649683
"","Albania","Quad Btu",0.12790562613012,0.095520951031316,0.066077876264454,0.062657134007085,0.066505379253259,0.068651020451247,0.082782995337386,0.074229512919983,0.066802887176389,0.068542586976389,0.061269951329218,0.051360764218452,0.051140989834609,0.070019961577154,0.072380847707154,0.071455004353826,0.068796602353826,0.043395025953826,0.053013134944076,0.064617004956406,0.10066441769346,0.075429708442694,0.084966027631075,0.10708357515684,0.093595989815713,0.10293963668163,0.12006231874217
"","Algeria","Quad Btu",4.7529628619067,4.916414931104,5.032649005104,4.8846276393014,4.7355012623014,5.0484088605892,5.2482746961683,5.592482566626,5.7493330701001,6.0200381240494,6.1905905854,6.1696001832,6.3905358305,6.788415607,6.9007554695,7.47991379335,7.417508976,7.12999869862,7.1790311553,6.94456575906,6.9289967507448,6.8301447295648,7.0017924910231,6.5125568873743,6.5640052245789,6.6982947221289,6.9126133077921
"","American Samoa","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Angola","Quad Btu",1.0381117823415,1.09156174,1.1517223177,1.1120039706,1.169655776,1.4039587736,1.5416244616,1.5488499757,1.5959505068,1.6136699116,1.6225954847,1.6090249443,1.9409163942,1.9563469515,2.2926774155,2.6973042855,3.0586818903,3.758617351652,4.23209073544,4.0629830709,4.1381426333553,3.8157380037843,3.8909872500129,3.9322411305734,3.8020884516386,3.9505785203046,3.9351578564634
"","Antarctica","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9998E-5,1.9838E-5,1.9768E-5,1.9708E-5,3.904E-5,3.9024E-5,3.8864E-5,4.758E-6,4.7705E-6,4.755E-6,9.319E-6,9.232E-6
"","Antigua and Barbuda","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-6,4.858E-6,4.758E-6,5.7246E-6,5.706E-6,4.6595E-5,5.5392E-5
"","Argentina","Quad Btu",2.0146697973181,2.103069649322,2.2798400126748,2.4771702355414,2.6861503252731,2.9088442225177,3.0256799492314,3.2813995130494,3.3759575761965,3.4055370051628,3.4899628599914,3.6590507463149,3.5725375769763,3.7411757658344,3.7551971511081,3.7468967463287,3.8229196485093,3.6708418127161,3.6613852865842,3.5829130723984,3.5080864032628,3.3635240237097,3.2232919819511,3.1317961512994,3.128021389293,3.1653894449554,3.2236383974723
"","Armenia","Quad Btu",--,--,0.031160446,0.043802941,0.035889364,0.0195928,0.04071154,0.030819838,0.032169334,0.036536488,0.034304848,0.033196589,0.041199143,0.04120475,0.045665273,0.046917644,0.046331502,0.04568496765,0.04411911962,0.04639953,0.051566047,0.051605197,0.046819248,0.045980655,0.04536061,0.050534947,0.047246935
"","Aruba","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002928,0.0010351116,0.001102766,0.001303692,0.001459773,0.0015216,0.001630825,0.001283248
"","Australia","Quad Btu",6.8566356453299,7.1855541491676,7.4084087561446,7.363158102623,7.4881677663068,8.0111859164363,8.2029790009666,8.6440921441433,9.1077593051864,9.2158683141694,9.9897561716867,10.40733232394,10.646158856706,10.432636034603,10.488890355312,11.081489027656,11.165901337282,11.620301627691,11.691472685006,12.106567036236,12.923589222649,12.831524327296,13.367057141272,14.150022736463,15.176637313838,15.242829357244,15.917849248889
"","Austria","Quad Btu",0.46065055211168,0.46795080661046,0.49330980759008,0.51093719231592,0.487659204478,0.5161529636412,0.4828186203752,0.48986185296681,0.51057017584677,0.54342413045,0.56019212223625,0.55307512709568,0.55052417107098,0.48742091418468,0.51560414886954,0.50830751651,0.52499497165,0.5512973748,0.55318515702,0.57682138308459,0.54453298255165,0.50388084947967,0.5971786479335,0.56785719214249,0.56226229911044,0.5285220745466,0.54710184918712
"","Azerbaijan","Quad Btu",--,--,0.778824898,0.718067532,0.661130936,0.644291,0.6508858,0.6194839906,0.7298447469,0.839759446,0.8366298716,0.8812074332,0.8792947305,0.9037713665,0.887903704,1.181106405,1.656947531,2.2133959922,2.4666552651,2.7548074377,2.8381873936055,2.7085416645198,2.6013722692508,2.5078543856663,2.4840754307229,2.5081694641854,2.4666600934401
"","Bahamas, The","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.878E-6,5.8296E-6,8.5644E-6,8.5869E-6,1.902E-5,1.8638E-5,1.8464E-5
