"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Natural gas (including LNG) - final consumption","2017","Terajoules","6091.1781","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2016","Terajoules","6450.1713","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2015","Terajoules","5704.8702","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2014","Terajoules","5537.0799","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2013","Terajoules","6028.7445","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2012","Terajoules","6243","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2011","Terajoules","6282","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2010","Terajoules","5541","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2009","Terajoules","5541","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2008","Terajoules","6048","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2007","Terajoules","6282","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2006","Terajoules","6672","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2005","Terajoules","6711","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2004","Terajoules","4643","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2003","Terajoules","9443","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2002","Terajoules","11121","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2001","Terajoules","4250","1"
"Afghanistan","Natural gas (including LNG) - final consumption","2000","Terajoules","4550","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1999","Terajoules","4950","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1998","Terajoules","5350","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1997","Terajoules","5750","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1996","Terajoules","6250","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1995","Terajoules","6550","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1994","Terajoules","6830","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1993","Terajoules","7130","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1992","Terajoules","7373","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1991","Terajoules","7920","1"
"Afghanistan","Natural gas (including LNG) - final consumption","1990","Terajoules","8167","1"
"Albania","Natural gas (including LNG) - final consumption","2016","Terajoules","2147.6","1"
"Albania","Natural gas (including LNG) - final consumption","2015","Terajoules","519",""
"Albania","Natural gas (including LNG) - final consumption","2014","Terajoules","317.32",""
"Albania","Natural gas (including LNG) - final consumption","2013","Terajoules","217.76",""
"Albania","Natural gas (including LNG) - final consumption","2012","Terajoules","153.35",""
"Albania","Natural gas (including LNG) - final consumption","2011","Terajoules","0",""
"Albania","Natural gas (including LNG) - final consumption","2010","Terajoules","35.49",""
"Albania","Natural gas (including LNG) - final consumption","2009","Terajoules","39.25",""
"Albania","Natural gas (including LNG) - final consumption","2008","Terajoules","0",""
"Albania","Natural gas (including LNG) - final consumption","2007","Terajoules","84",""
"Albania","Natural gas (including LNG) - final consumption","2003","Terajoules","0",""
"Albania","Natural gas (including LNG) - final consumption","2002","Terajoules","0",""
"Albania","Natural gas (including LNG) - final consumption","2001","Terajoules","38",""
"Albania","Natural gas (including LNG) - final consumption","2000","Terajoules","42",""
"Albania","Natural gas (including LNG) - final consumption","1999","Terajoules","128",""
"Albania","Natural gas (including LNG) - final consumption","1998","Terajoules","0",""
"Albania","Natural gas (including LNG) - final consumption","1997","Terajoules","0",""
"Albania","Natural gas (including LNG) - final consumption","1996","Terajoules","894",""
"Albania","Natural gas (including LNG) - final consumption","1995","Terajoules","1077",""
"Albania","Natural gas (including LNG) - final consumption","1994","Terajoules","1205","1"
"Albania","Natural gas (including LNG) - final consumption","1993","Terajoules","2220",""
"Albania","Natural gas (including LNG) - final consumption","1992","Terajoules","2500","1"
"Albania","Natural gas (including LNG) - final consumption","1991","Terajoules","4479","1"
"Albania","Natural gas (including LNG) - final consumption","1990","Terajoules","8000","1"
"Algeria","Natural gas (including LNG) - final consumption","2016","Terajoules","710104.158",""
"Algeria","Natural gas (including LNG) - final consumption","2015","Terajoules","685338",""
"Algeria","Natural gas (including LNG) - final consumption","2014","Terajoules","605496",""
"Algeria","Natural gas (including LNG) - final consumption","2013","Terajoules","536329",""
"Algeria","Natural gas (including LNG) - final consumption","2012","Terajoules","516378",""
"Algeria","Natural gas (including LNG) - final consumption","2011","Terajoules","456151",""
"Algeria","Natural gas (including LNG) - final consumption","2010","Terajoules","423947",""
"Algeria","Natural gas (including LNG) - final consumption","2009","Terajoules","413605",""
"Algeria","Natural gas (including LNG) - final consumption","2008","Terajoules","385764",""
"Algeria","Natural gas (including LNG) - final consumption","2007","Terajoules","399646",""
"Algeria","Natural gas (including LNG) - final consumption","2006","Terajoules","373152",""
"Algeria","Natural gas (including LNG) - final consumption","2005","Terajoules","324393","1"
"Algeria","Natural gas (including LNG) - final consumption","2004","Terajoules","238629.995",""
"Algeria","Natural gas (including LNG) - final consumption","2003","Terajoules","320230.00004",""
"Algeria","Natural gas (including LNG) - final consumption","2002","Terajoules","288533.9948",""
"Algeria","Natural gas (including LNG) - final consumption","2001","Terajoules","268407",""
"Algeria","Natural gas (including LNG) - final consumption","2000","Terajoules","274438",""
"Algeria","Natural gas (including LNG) - final consumption","1999","Terajoules","272960",""
"Algeria","Natural gas (including LNG) - final consumption","1998","Terajoules","241504",""
"Algeria","Natural gas (including LNG) - final consumption","1997","Terajoules","234181",""
"Algeria","Natural gas (including LNG) - final consumption","1996","Terajoules","169106","1"
"Algeria","Natural gas (including LNG) - final consumption","1995","Terajoules","200762","1"
"Algeria","Natural gas (including LNG) - final consumption","1994","Terajoules","205405","1"
"Algeria","Natural gas (including LNG) - final consumption","1993","Terajoules","213011","1"
"Algeria","Natural gas (including LNG) - final consumption","1992","Terajoules","196527",""
"Algeria","Natural gas (including LNG) - final consumption","1991","Terajoules","178230",""
"Algeria","Natural gas (including LNG) - final consumption","1990","Terajoules","156192",""
"Angola","Natural gas (including LNG) - final consumption","2016","Terajoules","27393",""
"Angola","Natural gas (including LNG) - final consumption","2015","Terajoules","29260",""
"Angola","Natural gas (including LNG) - final consumption","2014","Terajoules","10359",""
"Angola","Natural gas (including LNG) - final consumption","2013","Terajoules","13862",""
"Angola","Natural gas (including LNG) - final consumption","2012","Terajoules","28880",""
"Angola","Natural gas (including LNG) - final consumption","2011","Terajoules","28500",""
"Angola","Natural gas (including LNG) - final consumption","2010","Terajoules","27854",""
"Angola","Natural gas (including LNG) - final consumption","2009","Terajoules","26220",""
"Angola","Natural gas (including LNG) - final consumption","2008","Terajoules","25840",""
"Angola","Natural gas (including LNG) - final consumption","2007","Terajoules","32387.43",""
"Angola","Natural gas (including LNG) - final consumption","2006","Terajoules","26534.28",""
"Angola","Natural gas (including LNG) - final consumption","2005","Terajoules","25363.65",""
"Angola","Natural gas (including LNG) - final consumption","2004","Terajoules","29265.75",""
"Angola","Natural gas (including LNG) - final consumption","2003","Terajoules","24700.000342",""
"Angola","Natural gas (including LNG) - final consumption","2002","Terajoules","23560.0018",""
"Angola","Natural gas (including LNG) - final consumption","2001","Terajoules","20140",""
"Angola","Natural gas (including LNG) - final consumption","2000","Terajoules","22040",""
"Angola","Natural gas (including LNG) - final consumption","1999","Terajoules","21280",""
"Angola","Natural gas (including LNG) - final consumption","1998","Terajoules","22040",""
"Angola","Natural gas (including LNG) - final consumption","1997","Terajoules","21660",""
"Angola","Natural gas (including LNG) - final consumption","1996","Terajoules","21280",""
"Angola","Natural gas (including LNG) - final consumption","1995","Terajoules","21280",""
"Angola","Natural gas (including LNG) - final consumption","1994","Terajoules","19760",""
"Angola","Natural gas (including LNG) - final consumption","1993","Terajoules","21280",""
"Angola","Natural gas (including LNG) - final consumption","1992","Terajoules","21660",""
"Angola","Natural gas (including LNG) - final consumption","1991","Terajoules","22040",""
"Angola","Natural gas (including LNG) - final consumption","1990","Terajoules","20520",""
"Argentina","Natural gas (including LNG) - final consumption","2016","Terajoules","1029838",""
"Argentina","Natural gas (including LNG) - final consumption","2015","Terajoules","1027075",""
"Argentina","Natural gas (including LNG) - final consumption","2014","Terajoules","1000645",""
"Argentina","Natural gas (including LNG) - final consumption","2013","Terajoules","840417",""
"Argentina","Natural gas (including LNG) - final consumption","2012","Terajoules","979210",""
"Argentina","Natural gas (including LNG) - final consumption","2011","Terajoules","980147",""
"Argentina","Natural gas (including LNG) - final consumption","2010","Terajoules","936781",""
"Argentina","Natural gas (including LNG) - final consumption","2009","Terajoules","899569",""
"Argentina","Natural gas (including LNG) - final consumption","2008","Terajoules","937245",""
"Argentina","Natural gas (including LNG) - final consumption","2007","Terajoules","956726",""
"Argentina","Natural gas (including LNG) - final consumption","2006","Terajoules","870730",""
"Argentina","Natural gas (including LNG) - final consumption","2005","Terajoules","837816",""
"Argentina","Natural gas (including LNG) - final consumption","2004","Terajoules","809311",""
"Argentina","Natural gas (including LNG) - final consumption","2003","Terajoules","822126",""
"Argentina","Natural gas (including LNG) - final consumption","2002","Terajoules","748582",""
"Argentina","Natural gas (including LNG) - final consumption","2001","Terajoules","744728",""
"Argentina","Natural gas (including LNG) - final consumption","2000","Terajoules","749280",""
"Argentina","Natural gas (including LNG) - final consumption","1999","Terajoules","708893",""
"Argentina","Natural gas (including LNG) - final consumption","1998","Terajoules","682688",""
"Argentina","Natural gas (including LNG) - final consumption","1997","Terajoules","656859",""
"Argentina","Natural gas (including LNG) - final consumption","1996","Terajoules","685429",""
"Argentina","Natural gas (including LNG) - final consumption","1995","Terajoules","633060",""
"Argentina","Natural gas (including LNG) - final consumption","1994","Terajoules","594222",""
"Argentina","Natural gas (including LNG) - final consumption","1993","Terajoules","564512",""
"Argentina","Natural gas (including LNG) - final consumption","1992","Terajoules","448976",""
"Argentina","Natural gas (including LNG) - final consumption","1991","Terajoules","400194",""
"Argentina","Natural gas (including LNG) - final consumption","1990","Terajoules","442993",""
"Armenia","Natural gas (including LNG) - final consumption","2016","Terajoules","56276.9",""
"Armenia","Natural gas (including LNG) - final consumption","2015","Terajoules","56982.64",""
"Armenia","Natural gas (including LNG) - final consumption","2014","Terajoules","61493.3698","1"
"Armenia","Natural gas (including LNG) - final consumption","2013","Terajoules","61009.65","1"
"Armenia","Natural gas (including LNG) - final consumption","2012","Terajoules","63095.896","1"
"Armenia","Natural gas (including LNG) - final consumption","2011","Terajoules","55393.725","1"
"Armenia","Natural gas (including LNG) - final consumption","2010","Terajoules","47428.8714","1"
"Armenia","Natural gas (including LNG) - final consumption","2009","Terajoules","52667.8868",""
"Armenia","Natural gas (including LNG) - final consumption","2008","Terajoules","63062.9002",""
"Armenia","Natural gas (including LNG) - final consumption","2007","Terajoules","54935.8904",""
"Armenia","Natural gas (including LNG) - final consumption","2006","Terajoules","45970.9997",""
"Armenia","Natural gas (including LNG) - final consumption","2005","Terajoules","43476",""
"Armenia","Natural gas (including LNG) - final consumption","2004","Terajoules","35107",""
"Armenia","Natural gas (including LNG) - final consumption","2003","Terajoules","27885",""
"Armenia","Natural gas (including LNG) - final consumption","2002","Terajoules","22546",""
"Armenia","Natural gas (including LNG) - final consumption","2001","Terajoules","22592",""
"Armenia","Natural gas (including LNG) - final consumption","2000","Terajoules","20407",""
"Armenia","Natural gas (including LNG) - final consumption","1999","Terajoules","17405",""
"Armenia","Natural gas (including LNG) - final consumption","1998","Terajoules","21357",""
"Armenia","Natural gas (including LNG) - final consumption","1997","Terajoules","18984",""
"Armenia","Natural gas (including LNG) - final consumption","1996","Terajoules","12687",""
"Armenia","Natural gas (including LNG) - final consumption","1995","Terajoules","28628",""
"Armenia","Natural gas (including LNG) - final consumption","1994","Terajoules","21452",""
"Armenia","Natural gas (including LNG) - final consumption","1993","Terajoules","18806",""
"Armenia","Natural gas (including LNG) - final consumption","1992","Terajoules","46951",""
"Australia","Natural gas (including LNG) - final consumption","2016","Terajoules","611546",""
"Australia","Natural gas (including LNG) - final consumption","2015","Terajoules","628755",""
"Australia","Natural gas (including LNG) - final consumption","2014","Terajoules","627541",""
"Australia","Natural gas (including LNG) - final consumption","2013","Terajoules","613240",""
"Australia","Natural gas (including LNG) - final consumption","2012","Terajoules","589204",""
"Australia","Natural gas (including LNG) - final consumption","2011","Terajoules","588496",""
"Australia","Natural gas (including LNG) - final consumption","2010","Terajoules","584968",""
"Australia","Natural gas (including LNG) - final consumption","2009","Terajoules","576077",""
"Australia","Natural gas (including LNG) - final consumption","2008","Terajoules","598758",""
"Australia","Natural gas (including LNG) - final consumption","2007","Terajoules","595871",""
"Australia","Natural gas (including LNG) - final consumption","2006","Terajoules","573622",""
"Australia","Natural gas (including LNG) - final consumption","2005","Terajoules","573599",""
"Australia","Natural gas (including LNG) - final consumption","2004","Terajoules","599025",""
"Australia","Natural gas (including LNG) - final consumption","2003","Terajoules","588119",""
"Australia","Natural gas (including LNG) - final consumption","2002","Terajoules","549601",""
"Australia","Natural gas (including LNG) - final consumption","2001","Terajoules","559019",""
"Australia","Natural gas (including LNG) - final consumption","2000","Terajoules","529828",""
"Australia","Natural gas (including LNG) - final consumption","1999","Terajoules","505943",""
"Australia","Natural gas (including LNG) - final consumption","1998","Terajoules","495172",""
"Australia","Natural gas (including LNG) - final consumption","1997","Terajoules","479713",""
"Australia","Natural gas (including LNG) - final consumption","1996","Terajoules","471831",""
"Australia","Natural gas (including LNG) - final consumption","1995","Terajoules","464780",""
