"Table 5.4.B. Sales of Electricity to Ultimate Customers by End-Use Sector,",,,,,,,,,,
"by State, Year-to-Date through November 2018 and 2017 (Thousand Megawatthours)",,,,,,,,,,
,Residential,,Commercial,,Industrial,,Transportation,,All Sectors,
"Census Division
and State",November 2018 YTD,November 2017 YTD,November 2018 YTD,November 2017 YTD,November 2018 YTD,November 2017 YTD,November 2018 YTD,November 2017 YTD,November 2018 YTD,November 2017 YTD
New England,"43,722","41,436","48,097","47,818","14,751","15,508",520,502,"107,090","105,264"
Connecticut,"11,882","11,141","11,391","11,313","2,836","2,993",178,162,"26,287","25,609"
Maine,"4,240","4,217","3,674","3,623","2,576","2,456",0,0,"10,490","10,296"
Massachusetts,"18,604","17,528","23,723","23,759","5,594","6,287",317,315,"48,238","47,888"
New Hampshire,"4,203","3,998","4,067","4,012","1,800","1,806",0,0,"10,069","9,817"
Rhode Island,"2,874","2,734","3,398","3,303",676,671,25,25,"6,972","6,733"
Vermont,"1,920","1,819","1,844","1,807","1,270","1,296",0,0,"5,034","4,922"
Middle Atlantic,"125,834","116,853","145,286","142,939","66,698","66,985","3,638","3,501","341,456","330,277"
New Jersey,"27,312","25,394","35,474","34,736","6,471","6,734",284,280,"69,542","67,144"
New York,"47,731","44,859","70,135","69,153","15,763","16,297","2,714","2,533","136,343","132,841"
Pennsylvania,"50,792","46,600","39,676","39,050","44,464","43,954",640,688,"135,572","130,292"
East North Central,"176,574","161,599","171,199","166,734","171,245","176,591",559,523,"519,577","505,447"
Illinois,"43,486","39,670","46,857","45,722","39,037","39,351",501,465,"129,881","125,209"
Indiana,"31,032","28,318","22,547","21,798","38,039","40,326",19,18,"91,637","90,460"
Michigan,"31,965","29,827","36,018","35,209","27,489","28,067",6,5,"95,477","93,109"
Ohio,"49,679","44,645","43,700","42,367","44,093","46,595",33,35,"137,504","133,641"
Wisconsin,"20,413","19,138","22,077","21,638","22,588","22,252",0,0,"65,078","63,028"
West North Central,"98,751","90,790","95,892","93,224","81,350","85,540",45,42,"276,038","269,596"
Iowa,"13,205","12,397","11,379","11,059","21,446","21,144",0,0,"46,030","44,600"
Kansas,"13,017","11,910","14,684","14,483","10,071","10,595",0,0,"37,772","36,988"
Minnesota,"20,325","19,446","21,314","21,285","19,181","20,410",23,22,"60,843","61,163"
Missouri,"33,845","29,843","29,063","27,678","10,675","12,191",21,21,"73,605","69,733"
Nebraska,"9,392","8,730","8,861","8,502","9,735","10,503",0,0,"27,989","27,736"
North Dakota,"4,520","4,283","5,987","5,902","7,697","7,997",0,0,"18,203","18,181"
South Dakota,"4,447","4,182","4,603","4,314","2,546","2,700",0,0,"11,596","11,196"
South Atlantic,"341,709","318,692","292,168","285,027","128,652","128,894","1,213","1,185","763,742","733,797"
Delaware,"4,648","4,239","4,016","3,832","2,003","2,099",0,0,"10,667","10,170"
District of Columbia,"2,378","2,206","7,600","7,332",156,163,307,307,"10,441","10,008"
Florida,"115,337","112,759","88,326","87,728","15,170","15,246",76,80,"218,909","215,813"
Georgia,"54,963","50,027","44,033","42,636","29,391","29,609",155,154,"128,542","122,425"
Maryland,"25,564","23,403","27,170","26,449","3,486","3,482",480,478,"56,699","53,812"
North Carolina,"55,850","50,720","45,649","44,097","24,761","25,203",11,3,"126,272","120,023"
South Carolina,"29,335","26,627","20,347","20,096","24,994","24,973",0,0,"74,676","71,697"
Virginia,"43,169","39,401","47,873","45,954","15,696","15,728",183,163,"106,921","101,246"
West Virginia,"10,465","9,309","7,155","6,903","12,994","12,391",0,0,"30,614","28,604"
East South Central,"114,492","101,665","86,943","83,036","89,435","93,888",0,0,"290,870","278,589"
Alabama,"30,500","27,416","21,317","20,982","31,079","30,529",0,0,"82,897","78,927"
Kentucky,"25,287","22,379","18,173","17,732","24,486","26,151",0,0,"67,947","66,262"
Mississippi,"18,022","16,033","13,103","13,193","15,577","14,785",0,0,"46,702","44,010"
Tennessee,"40,683","35,837","34,349","31,129","18,293","22,423",0,0,"93,324","89,390"
West South Central,"213,666","196,482","186,309","179,444","164,744","176,235",185,180,"564,904","552,341"
Arkansas,"17,572","15,639","11,350","11,015","16,406","15,760",0,0,"45,328","42,415"
Louisiana,"29,891","27,234","23,305","22,606","31,535","34,009",12,12,"84,743","83,862"
Oklahoma,"22,280","19,986","19,338","18,802","16,927","16,645",0,0,"58,545","55,433"
Texas,"143,924","133,623","132,316","127,020","99,876","109,821",173,168,"376,289","370,631"
Mountain,"91,994","90,648","90,885","89,424","76,132","75,644",147,132,"259,158","255,849"
Arizona,"32,330","32,063","27,650","27,520","12,566","12,553",7,7,"72,555","72,142"
Colorado,"17,652","16,982","18,935","18,930","14,728","14,218",84,65,"51,399","50,195"
Idaho,"7,445","7,769","5,833","5,852","8,298","8,133",0,0,"21,576","21,754"
Montana,"4,605","4,686","4,538","4,529","4,146","4,157",0,0,"13,289","13,372"
Nevada,"12,510","12,045","11,165","10,279","11,056","11,609",8,8,"34,739","33,940"
New Mexico,"6,302","5,947","8,497","8,099","7,348","7,084",0,0,"22,146","21,130"
Utah,"8,712","8,685","10,882","10,787","8,529","8,518",47,52,"28,170","28,041"
Wyoming,"2,438","2,472","3,385","3,429","9,460","9,373",0,0,"15,283","15,274"
Pacific Contiguous,"130,505","134,215","147,091","150,630","78,547","80,131",770,795,"356,912","365,771"
California,"81,789","83,236","105,044","108,402","45,113","44,981",739,765,"232,685","237,383"
Oregon,"17,034","17,829","15,096","15,104","10,892","12,332",24,23,"43,046","45,288"
Washington,"31,681","33,149","26,952","27,125","22,541","22,819",7,6,"81,181","83,099"
Pacific Noncontiguous,"4,281","4,263","5,224","5,307","4,507","4,640",0,0,"14,012","14,210"
Alaska,"1,788","1,849","2,452","2,463","1,213","1,300",0,0,"5,453","5,613"
Hawaii,"2,493","2,414","2,773","2,844","3,294","3,339",0,0,"8,560","8,597"
U.S. Total,"1,341,528","1,256,643","1,269,093","1,243,582","876,062","904,056","7,077","6,859","3,493,760","3,411,140"
"See Technical notes for additional information on the Commercial, Industrial, and Transportation sectors.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Notes: - See Glossary for definitions. - Values for 2017 are final. Values for 2018 are preliminary estimates based on a cutoff model sample.
See Technical Notes for a discussion of the sample design for the Form EIA-826.
Utilities and energy service providers may classify commercial and industrial customers based on either NAICS codes or demands or usage falling within specified limits by rate schedule.
Changes from year to year in consumer counts, sales and revenues, particularly involving the commercial and industrial consumer sectors, may result from respondent implementation of changes in the definitions of consumers, and reclassifications.
Totals may not equal sum of components because of independent rounding.
Source: U.S. Energy Information Administration, Form EIA-861M (formerly EIA-826), Monthly Electric Power Industry Report.",,,,,,,,,,
