,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Quad Btu,0.002187572,0.001958398,0.000166672,0.000145838,0.000125004,0.00010417,6.25E-05,4.17E-05,4.17E-05,2.08E-05,2.08E-05,0.000541685,0.000437514,0.000729191,0.000708357,0.000687523,0.000729191,0.005062667,0.007229405,0.010417009,0.015104664,0.03083431,0.025834152,0.028063389,0.031613501,0.028438401,0.03537612
Albania,Quad Btu,0.057443992,0.032323962,0.008462611,0.005516766,0.00452589,0.002142433,0.003026187,0.001044436,0.00131224,0.00321365,0.00195497,0.002169214,0.001660386,0.001713947,0.001713947,0.001446142,0.001446142,0.001446142,0.001874629,0.004311647,0.004740134,0.00581135,0.006775445,0.002812672,0.003558197,0.003023455,0.002352831
Algeria,Quad Btu,0.028251904,0.031484709,0.029095244,0.022629634,0.022966971,0.013493447,0.008939408,0.01523635,0.017653926,0.017766371,0.011300762,0.015376907,0.020605617,0.016979254,0.016795794,0.018314145,0.019474682,0.015373496,0.01567704,0.003821761,7.96E-05,5.65E-05,0.00033495,0.001109634,0.001079212,0.000698246,0.000697224
American Samoa,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Quad Btu,0.037816345,0.033326859,0.033271773,0.030903087,0.044839774,0.039771888,0.036824802,0.033877716,0.034428573,0.036549373,0.032720916,0.02572503,0.021015201,0.025422058,0.03073783,0.039441374,0.035530288,0.038945602,0.041011316,0.033602287,0.041424459,0.048998745,0.044536802,0.048337717,0.046411572,0.043798336,0.035270629
Armenia,Quad Btu,--,--,0.002846723,6.06E-05,0.000726823,6.06E-05,0.000100948,0.000100948,0.000100948,6.06E-05,0,0,0.000363411,0.000545117,0,0,2.02E-05,6.06E-05,4.04E-05,0,2.02E-05,0,4.04E-05,2.74E-05,2.35E-05,2.61E-05,2.72E-05
Aruba,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Quad Btu,1.441407087,1.495749059,1.536601597,1.506205772,1.516854603,1.550351763,1.662452664,1.745996585,1.901914132,1.935068224,1.9380735,1.938814527,1.970431674,1.978294793,2.056884812,2.090038904,2.129683842,2.142212686,2.128297848,2.18763489,2.019764853,1.948283204,1.933064707,1.770549014,1.758207481,1.810990669,1.850510519
Austria,Quad Btu,0.186617268,0.191938787,0.138415509,0.122871072,0.121918801,0.143821052,0.151663291,0.150879067,0.128668727,0.141860493,0.142980812,0.15572445,0.151299187,0.167067688,0.155248314,0.148974523,0.139759893,0.122394936,0.115757042,0.093182598,0.107550699,0.109987395,0.100380653,0.099876509,0.090360396,0.105142659,0.098366994
Azerbaijan,Quad Btu,--,--,0.00078025,0.000115593,2.89E-05,0.000173389,0.000173389,0.000173389,2.89E-05,0,0,6.89E-05,0.000163505,9.91E-05,0.000129666,0.00013952,0.000475836,0.000343454,0.000323572,0.00018411,0.00021558,0.000163361,0.000170036,0.00015709,5.84E-05,4.01E-06,4.01E-06
"Bahamas, The",Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Quad Btu,0.001155749,0.003728222,0.003500386,0.013048776,0.010977542,0.013297324,0.007290745,0.013380173,0.003852496,0.001905536,0.013670146,0.01449864,0.014719454,0.014940269,0.015836761,0.019925274,0.019531739,0.025621168,0.026573936,0.032083419,0.033512571,0.030219308,0.037385779,0.040554767,0.038509641,0.039241308,0.042159079
Barbados,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Quad Btu,--,--,0.047458766,0.041028868,0.030593043,0.028704899,0.028475259,0.020667527,0.019315207,0.013242527,0.012859795,0.011048197,0.008522165,0.007501547,0.005970619,0.004286598,0.003368041,0.002117784,0.001939175,0.002015722,0.002015722,0.002296392,0.009134537,0.015082717,0.019589996,0.01592005,0.0142363
Belgium,Quad Btu,0.461055199,0.438890151,0.401855934,0.374780731,0.383657846,0.366430694,0.355694932,0.32864747,0.314360862,0.274413841,0.28958816,0.273609352,0.2485315,0.232136577,0.216601624,0.205588453,0.198791911,0.181315089,0.159316487,0.123724801,0.154045699,0.144169908,0.144419577,0.140452616,0.125719127,0.114347285,0.101759511
Belize,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000961001,0.001037911,0.001985751
Bermuda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Quad Btu,0.000302057,0.000302057,0.000318838,0.00018459,0.000755143,0.000872609,0.000990076,0.001191447,0.001141104,0.001107542,0.001107542,0.000916172,0.001066714,0.000700067,0.000155543,0.001153287,0.001302638,0.000462938,0.001187811,0.001627549,0.002191523,0.00174525,0.002316103,0.001217322,0.001606454,0.001340569,0.001458186
Bolivia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Quad Btu,--,--,0.025318052,0.021942312,0.023630182,0.027681071,0.028525006,0.09203956,0.118741666,0.114302567,0.125526904,0.123670246,0.132193991,0.112525412,0.096653979,0.080276472,0.085526373,0.090640349,0.102728183,0.127393823,0.132629006,0.154113179,0.138683396,0.135739024,0.145914357,0.142445235,0.145854538
Botswana,Quad Btu,0.017737281,0.017132865,0.021851958,0.020829101,0.020154944,0.020503646,0.017272346,0.015854293,0.018690398,0.015970527,0.020898841,0.020364165,0.021201049,0.019550529,0.021038321,0.023688453,0.022758582,0.020573386,0.018527671,0.017318839,0.009786888,0.008415329,0.005904678,0.014389747,0.017225131,0.029557163,0.028859178
Brazil,Quad Btu,0.373904014,0.407331556,0.38998799,0.390230219,0.396407047,0.414331961,0.426879401,0.437198338,0.42203483,0.465853977,0.491554428,0.481429274,0.430876172,0.441873349,0.480363468,0.482470857,0.485862057,0.50616081,0.500177765,0.421768378,0.525878216,0.554025175,0.572143872,0.631514093,0.687568256,0.678221969,0.75856127
Brunei,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
